"rmsea","cfi","version","fac.corr","mech","pattern","per.miss","num.var.miss","samp"
0.015706,0.03848,"FIML-C V6",0.7,"MCAR","min",50,2,200
0.01693,0.042494,"TS V0",0.7,"MCAR","min",50,2,200
0.016349,0.037785,"TS V1",0.7,"MCAR","min",50,2,200
0.01529,0.037094,"TS V2",0.7,"MCAR","min",50,2,200
0.017729,0.042832,"FIML",0.6,"MCAR","min",50,2,200
0.017783,0.053794,"FIML-C V0",0.6,"MCAR","min",50,2,200
0.016715,0.049833,"FIML-C V1",0.6,"MCAR","min",50,2,200
0.015313,0.071312,"FIML-C V2",0.6,"MCAR","min",50,2,200
0.016051,0.048576,"FIML-C V3",0.6,"MCAR","min",50,2,200
0.016736,0.07718,"FIML-C V4",0.6,"MCAR","min",50,2,200
0.064277,0.323237,"FIML-C V5",0.6,"MCAR","min",50,2,200
0.016017,0.048393,"FIML-C V6",0.6,"MCAR","min",50,2,200
0.016429,0.049335,"TS V0",0.6,"MCAR","min",50,2,200
0.016669,0.048043,"TS V1",0.6,"MCAR","min",50,2,200
0.015403,0.045733,"TS V2",0.6,"MCAR","min",50,2,200
0.019155,0.049214,"FIML",0.5,"MCAR","min",50,2,200
0.017513,0.057822,"FIML-C V0",0.5,"MCAR","min",50,2,200
0.016818,0.057932,"FIML-C V1",0.5,"MCAR","min",50,2,200
0.015909,0.066598,"FIML-C V2",0.5,"MCAR","min",50,2,200
0.015925,0.053796,"FIML-C V3",0.5,"MCAR","min",50,2,200
0.022139,0.085728,"FIML-C V4",0.5,"MCAR","min",50,2,200
0.121474,0.33735,"FIML-C V5",0.5,"MCAR","min",50,2,200
0.015917,0.053754,"FIML-C V6",0.5,"MCAR","min",50,2,200
0.015666,0.050963,"TS V0",0.5,"MCAR","min",50,2,200
0.016745,0.054546,"TS V1",0.5,"MCAR","min",50,2,200
0.014967,0.049304,"TS V2",0.5,"MCAR","min",50,2,200
0.022993,0.060149,"FIML",0.4,"MCAR","min",50,2,200
0.016908,0.058355,"FIML-C V0",0.4,"MCAR","min",50,2,200
0.017808,0.064704,"FIML-C V1",0.4,"MCAR","min",50,2,200
0.018782,0.057063,"FIML-C V2",0.4,"MCAR","min",50,2,200
0.016218,0.057029,"FIML-C V3",0.4,"MCAR","min",50,2,200
0.025569,0.09325,"FIML-C V4",0.4,"MCAR","min",50,2,200
0.118427,0.354725,"FIML-C V5",0.4,"MCAR","min",50,2,200
0.016216,0.057031,"FIML-C V6",0.4,"MCAR","min",50,2,200
0.015022,0.051257,"TS V0",0.4,"MCAR","min",50,2,200
0.018292,0.062062,"TS V1",0.4,"MCAR","min",50,2,200
0.015479,0.053207,"TS V2",0.4,"MCAR","min",50,2,200
0.026041,0.072119,"FIML",0.3,"MCAR","min",50,2,200
0.015718,0.057631,"FIML-C V0",0.3,"MCAR","min",50,2,200
0.016848,0.066602,"FIML-C V1",0.3,"MCAR","min",50,2,200
0.019752,0.05446,"FIML-C V2",0.3,"MCAR","min",50,2,200
0.015335,0.057685,"FIML-C V3",0.3,"MCAR","min",50,2,200
0.035806,0.099333,"FIML-C V4",0.3,"MCAR","min",50,2,200
0.202381,0.363501,"FIML-C V5",0.3,"MCAR","min",50,2,200
0.015359,0.057776,"FIML-C V6",0.3,"MCAR","min",50,2,200
0.01432,0.054342,"TS V0",0.3,"MCAR","min",50,2,200
0.018136,0.067922,"TS V1",0.3,"MCAR","min",50,2,200
0.015224,0.057899,"TS V2",0.3,"MCAR","min",50,2,200
0.027134,0.07942,"FIML",0.2,"MCAR","min",50,2,200
0.015793,0.055553,"FIML-C V0",0.2,"MCAR","min",50,2,200
0.016212,0.064419,"FIML-C V1",0.2,"MCAR","min",50,2,200
0.018784,0.051663,"FIML-C V2",0.2,"MCAR","min",50,2,200
0.015081,0.055583,"FIML-C V3",0.2,"MCAR","min",50,2,200
